plz,lat,lon,ort
2743,47.263485,7.40423,Eschert
1007,46.519595,6.63233,Lausanne
2744,47.288594,7.404268,Belprahon
2747,47.301549,7.517976,Seehof
2745,47.283523,7.425376,Grandval
2746,47.28535726,7.451993888,Crémines
2747,47.301549,7.517976,Corcelles BE
2762,47.301706,7.37378,Roches BE
2832,47.320793,7.417931,Rebeuvelier
2830,47.33466568,7.374280315,Courrendlin
2800,47.37510076,7.332924353,Delémont
2800,47.37510076,7.332924353,Delémont 1
2800,47.37510076,7.332924353,Delémont 2
2800,47.37510076,7.332924353,Delémont 1 Dist
2802,47.3647168,7.281501206,Develier
2803,47.392968,7.250756,Bourrignon
2805,47.398709,7.365186,Soyhières
2806,47.396686,7.324817,Mettembert
2807,47.415442,7.30973,Pleigne
1008,46.53889572,6.604973569,Prilly
2807,47.415442,7.30973,Lucelle
2812,47.41042,7.317292,Movelier
2813,47.421108,7.333272,Ederswiler
2814,47.428278,7.354321,Roggenburg
2822,47.3691949,7.393027637,Courroux
2823,47.36166,7.390955,Courcelon
2824,47.35090887,7.427027963,Vicques
2825,47.348062,7.451775,Courchapoix
2826,47.347203,7.472348,Corban
1009,46.52153817,6.669496486,Pully
2827,47.331277,7.55302,Mervelier
2828,47.356951,7.511823,Montsevelier
2829,47.322108,7.476983,Vermes
2842,47.342631,7.343595,Rossemaison
2843,47.319933,7.340727,Châtillon JU
2852,47.33094152,7.317661918,Courtételle
2853,47.32992417,7.279748788,Courfaivre
2854,47.3351347,7.240782485,Bassecourt
2855,47.32692941,7.18444471,Glovelier
2856,47.36152824,7.222935489,Boécourt
1010,46.55204314,6.652307803,Lausanne
2857,47.37232,7.236435,Montavon
2863,47.300865,7.222253,Undervelier
2864,47.297873,7.279942,Soulce
2873,47.302493,7.153539,Saulcy
2874,47.302961,7.084949,Saint-Brais
2875,47.273616,7.070246,Montfaucon
2875,47.273616,7.070246,Les Enfers
2877,47.259264,7.039008,Le Bémont JU
1011,46.525429,6.64295,Lausanne
2882,47.357747,7.15331,Saint-Ursanne
2883,47.358099,7.171072,Montmelon
2884,47.349739,7.143755,Montenol
2885,47.337305,7.116267,Epauvillers
2886,47.326102,7.068824,Epiquerez
2887,47.306854,7.045637,Soubey
2888,47.362946,7.109186,Seleute
1012,46.52631,6.65689,Lausanne
2889,47.354908,7.073021,Ocourt
2950,47.39294641,7.121869799,Courgenay
2900,47.42129875,7.071013933,Porrentruy
2900,47.42129875,7.071013933,Porrentruy 1
2900,47.42129875,7.071013933,Porrentruy 2
2900,47.42129875,7.071013933,Porrentruy 1 Dist
2902,47.38773237,7.076817649,Fontenais
2903,47.385514,7.080999,Villars-sur-Font
2904,47.383185,7.039055,Bressaucourt
2905,47.412724,7.036178,Courtedoux
2906,47.39152265,6.992897767,Chevenez
2907,47.385756,6.955768,Rocourt
2908,47.39147,6.933637,Grandfontaine
2912,47.365451,6.954115,Roche-d'Or
2914,47.36807,6.897797,Damvant
2915,47.303675,9.457086,Bure
2916,47.417426,6.952857,Fahy
1014,46.519588,6.63234,Lausanne Adm cant
2922,47.436636,7.04556,Courchavon
2923,47.458188,7.046949,Courtemaîche
2924,47.48384,7.057063,Montignez
2925,47.477201,7.028201,Buix
2926,47.48797856,7.007613253,Boncourt
2932,47.453325,7.095441,Coeuve
2935,47.489202,7.129588,Beurnevésin
1015,46.55204314,6.652307803,Lausanne
2942,47.42841365,7.126248602,Alle
2943,47.451931,7.14873,Vendlincourt
2944,47.47584614,7.156806057,Bonfol
2946,47.431234,7.174225,Miécourt
2947,47.426859,7.212295,Charmoille
2952,47.40475367,7.163135059,Cornol
1753,46.78391406,7.091004447,Matran
1754,46.781159,7.096297681,Rosé
1756,46.773683,7.022437,Onnens FR
1757,46.80221222,7.03654691,Noréaz
